"compartment","depth","direct"
"surftemp",104.57071685791,0.0100513100624084
"surftemp",80.9724807739258,0.00394833087921143
"surftemp",8.03839302062988,0.00705718994140625
"surftemp",12.8866739273071,0.0253328084945679
"surftemp",18.8535766601562,0.0368173122406006
"surftemp",30.8925609588623,0.0549169182777405
"surftemp",14.3136930465698,0.0467451810836792
"surftemp",7.60628366470337,0.0442105531692505
"surftemp",9.27075290679932,0.044239342212677
"surftemp",9.76734066009521,0.0281805396080017
"surftemp",7.22427225112915,0.0316381454467773
"surftemp",6.2423734664917,0.0248332619667053
"surftemp",10.7258596420288,0.0390698313713074
"surftemp",7.61508226394653,0.0286731719970703
"surftemp",8.71330261230469,0.00373131036758423
"surftemp",3.49851608276367,0.038166880607605
"surftemp",3.42273259162903,0.0207926630973816
"surftemp",45.8053741455078,0.00819599628448486
"surftemp",21.0304794311523,0.0110018849372864
"surftemp",11.3200063705444,0.00835335254669189
"surftemp",15.4910650253296,0.0581974387168884
"surftemp",5.93903493881226,0.0367661714553833
"surftemp",14.0727281570435,0.109965205192566
"surftemp",13.8203010559082,0.0573898553848267
"surftemp",10.5025825500488,0.0240175127983093
"surftemp",10.1439218521118,0.00397545099258423
"surftemp",9.58557319641113,0
"surftemp",6.07624816894531,0
"surftemp",10.2691984176636,0.00759130716323853
"surftemp",28.6328048706055,0.0230776071548462
"surftemp",18.1384010314941,0.0103513598442078
"surftemp",36.1547813415527,0.00776016712188721
"surftemp",13.2587718963623,0.0231718420982361
"surftemp",35.5053215026855,0.0462614893913269
"surftemp",12.9871349334717,0.0171460509300232
"surftemp",26.4851970672607,0.0248598456382751
"surftemp",10.9583530426025,0
"surftemp",10.6756839752197,0.0475434064865112
"surftemp",36.6847610473633,0
"surftemp",10.9635381698608,0.0249411463737488
"surftemp",11.2117290496826,0.0284506678581238
"surftemp",79.9292678833008,0
"surftemp",19.8199768066406,0.0010492205619812
"surftemp",18.777042388916,0.025347888469696
"surftemp",10.3614702224731,0.0359255075454712
"surftemp",9.76105308532715,0.0482532978057861
"surftemp",8.4812650680542,0.0436053276062012
"surftemp",9.2907886505127,0.0335444808006287
"surftemp",12.1379642486572,0.0383992195129395
"surftemp",9.35912704467773,0.034847617149353
"surftemp",30.8690319061279,0.0563076138496399
"surftemp",7.34766149520874,0.0332401394844055
"surftemp",8.30080986022949,0.021849513053894
"surftemp",10.3811645507812,0.0243374705314636
"surftemp",9.90437793731689,0.0294137597084045
"surftemp",12.0429563522339,0.0296144485473633
"surftemp",12.1950578689575,0.0131282806396484
"surftemp",12.7308225631714,0.00855225324630737
"surftemp",6.30944776535034,0.0423583388328552
"surftemp",5.10773420333862,0.0126620531082153
"surftemp",5.28195238113403,0.0108786821365356
"surftemp",12.8649768829346,0.0116806030273438
"surftemp",10.2409610748291,0.0124002695083618
"surftemp",8.72039127349854,0
"surftemp",161.080612182617,0.00743287801742554
"surftemp",168.963333129883,0.0486209392547607
"surftemp",19.7250022888184,0.130108535289764
"surftemp",17.3228302001953,0.0448448061943054
"surftemp",4.26853609085083,0
"surftemp",10.6993627548218,0.00696724653244019
"surftemp",7.22256565093994,0
"surftemp",12.0227136611938,9.95397567749023e-06
"surftemp",7.93161010742188,0
"surftemp",11.8800067901611,0
"surftemp",10.7174711227417,0
"surftemp",7.21987915039062,0
"surftemp",11.7647705078125,0.0375420451164246
"surftemp",17.6241226196289,0.00456458330154419
"surftemp",22.3895092010498,0.000810980796813965
"surftemp",14.0522136688232,0.0196834802627563
"surftemp",13.9424924850464,0.00412160158157349
"surftemp",4.80256938934326,0
